"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 01 01:53:44 UTC 2026","Thu Jan 01 01:54:14 UTC 2026","30576","Ecommerce Project","Run on firefox","com.ecommerce.account.Account_MyVoucher","com.ecommerce.account.Account_MyVoucher","Account_MyVoucher_01_Open","Account_MyVoucher_01_Open",""
"passed","Thu Jan 01 01:54:50 UTC 2026","Thu Jan 01 01:54:54 UTC 2026","3650","Ecommerce Project","Run on firefox","com.ecommerce.product.Shopping_Cart","com.ecommerce.product.Shopping_Cart","Edit_Checkout_Cart_02","Edit_Checkout_Cart_02",""
"passed","Thu Jan 01 01:51:06 UTC 2026","Thu Jan 01 01:51:14 UTC 2026","8072","Ecommerce Project","Run on chrome","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","EditAddressBook","EditAddressBook",""
"passed","Thu Jan 01 01:53:30 UTC 2026","Thu Jan 01 01:53:37 UTC 2026","7374","Ecommerce Project","Run on firefox","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","EditAddressBook","EditAddressBook",""
"skipped","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","0","Ecommerce Project","Run on edge chromium","com.ecommerce.product.Shopping_Cart","com.ecommerce.product.Shopping_Cart","Edit_Checkout_Cart_02","Edit_Checkout_Cart_02",""
"broken","Thu Jan 01 01:54:14 UTC 2026","Thu Jan 01 01:54:14 UTC 2026","1","Ecommerce Project","Run on firefox","com.ecommerce.account.Account_MyVoucher","com.ecommerce.account.Account_MyVoucher","Account_MyVoucher_02_Validated","Account_MyVoucher_02_Validated",""
"skipped","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","0","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_MyVoucher","com.ecommerce.account.Account_MyVoucher","Account_MyVoucher_02_Validated","Account_MyVoucher_02_Validated",""
"broken","Thu Jan 01 01:52:22 UTC 2026","Thu Jan 01 01:52:55 UTC 2026","32566","Ecommerce Project","Run on firefox","com.ecommerce.account.Account_EditMyAccount","com.ecommerce.account.Account_EditMyAccount","AccountDashboard_01","AccountDashboard_01",""
"passed","Thu Jan 01 01:53:28 UTC 2026","Thu Jan 01 01:53:28 UTC 2026","762","Ecommerce Project","Run on firefox","com.ecommerce.account.Account_AddressBook","com.ecommerce.account.Account_AddressBook","Account_Address_01","Account_Address_01",""
"skipped","Thu Jan 01 01:54:55 UTC 2026","Thu Jan 01 01:54:55 UTC 2026","0","Ecommerce Project","Run on edge chromium","com.ecommerce.account.Account_MyVoucher","com.ecommerce.account.Account_MyVoucher","Account_MyVoucher_03_Create_Gif_Voucher","Account_MyVoucher_03_Create_Gif_Voucher",""
